manuscriptID,cluster,betweenness,scaled_betweenness,eigen,scaled_eigen,interaction_score,residuals,keystatus
GRONSETH2010,2,83.41556378172709,0.01541415862360097,0.09072416447854419,0.08581248651426435,0.001336088160622717,0.007237049149396543,Hub
MOERSCH2010,2,12.149501992590418,0.010788573834467689,0.12421469701669963,0.11948392643415541,0.0013020819821888802,0.04632506740672812,Hub
WANGERTM2004,2,44.6028676632003,0.012894987333873882,0.10332204381172914,0.09847841640361742,0.001282704982004651,0.02288341336854293,Hub
ISTE2007,2,35.3200600104274,0.012292478751230948,0.10678499796506431,0.10196007655896186,0.0012660020955302215,0.027075471698056613,Hub
THOMAS2013,2,121.13010341807671,0.017862053126137596,0.07496844542960406,0.06997165905812709,0.0012624621125457102,-0.01148090173500541,Hub
DOERINGH2003,2,67.03206849455731,0.014350773827379199,0.08334478991980986,0.07839325044157093,0.0011363674814950293,0.001144491605631619,Hub
AGYEIVOO2011,2,76.90729515673347,0.014991733873311867,0.07483125634913751,0.06983372891696461,0.0010575037164688252,-0.008144676801980522,Hub
NIESSRON2009,2,12.804837614053511,0.010831108954359483,0.10084454932606413,0.09598753911968977,0.0010501530247133363,0.02290344736459296,Hub
HARRISHO2009,2,43.63493318283122,0.012832162717262958,0.08420040265287337,0.0792534849780991,0.0010272662779284073,0.003837797168762282,Hub
DARLINGHAMMOND2005,2,19.908575694093592,0.0112921831597259,0.08811596229882852,0.08319019548639937,9.488878025513379e-4,0.009616907905897856,Hub
CULLENGR2011,2,38.86770314956783,0.012522741568197531,0.07988183576647463,0.07491159028622643,9.475742278960709e-4,-1.0633479922923472e-4,Hub
KOH2011,2,44.06769997713206,0.012860251816768455,0.07708197418389295,0.07209660455990204,9.365459492669868e-4,-0.0033146223176816867,Hub
DARLINGHAMMOND2002,2,33.524088809104015,0.012175909701924661,0.08096199292823424,0.07599758218363183,9.346865638712117e-4,0.001393528520112523,Hub
DEWEY1933,2,33.524088809104015,0.012175909701924661,0.08096199292823421,0.0759975821836318,9.346865638712113e-4,0.0013935285201124952,Hub
NIESSSAD2007,2,34.505806827367024,0.012239628950869993,0.07693862593038789,0.0719524819754069,8.895673550233755e-4,-0.0027069460440778724,Hub
MISHRA2006,3,11916.95283532327,0.9507202460317282,0.5483508074101828,0.5476995787329876,0.5259687659035353,-0.11855074869563964,Hub
SCHMIDT2009,3,5278.594656553415,0.42669048561607326,0.478403276611419,0.4776511912545207,0.2058678977287751,0.15436093360425032,Hub
ERTMER2010,3,4986.88475001396,0.40366300377220093,0.28274553681021597,0.28171133441831725,0.11486509439189187,-0.026230516262634476,Hub
ABBITT2011,3,2201.212876862692,0.18376300365581733,0.32688447736744725,0.3259139184943315,0.060495879389652105,0.16178334647553338,Hub
SHULMAN1986,3,1653.232211798716,0.1405055943849154,0.28785876224437223,0.2868319325636182,0.04070857694285368,0.15105984321833388,Hub
BANDURA1977,3,1540.7526877137939,0.13162649860994002,0.17648555916248287,0.17529814151897366,0.023306950081790158,0.0454960044519768,Hub
LEI2009,3,2336.1184262666334,0.19441240232173715,0.09755054744047792,0.0962493141539619,0.01890107109746597,-0.07451821148018566,Hub
GRAHAM2011,3,924.6976816006559,0.08299532376782628,0.21451702367480707,0.2133844432384323,0.017888798943021252,0.11534559762402598,Hub
KAY2006,3,1220.650854970457,0.1063577676671654,0.16462350910620588,0.16341898768548702,0.017556443156218578,0.05016663605135505,Hub
ERTMER2005,3,1528.0976885126156,0.13062751723218577,0.13308925266611557,0.13183926230081594,0.01739579344250353,0.0027533058133108507,Hub
KOEHLER2005,3,741.1639862347636,0.06850723562603657,0.25102418544623994,0.24994424433936835,0.017295948727604815,0.16133194335565587,Hub
KOEHLER2008,3,1080.9725061589963,0.09533160582235699,0.173533818557843,0.17234214482761664,0.01659560951241001,0.06629108000293132,Hub
ANDERSON2007,3,1375.9315715078403,0.11861557516910032,0.12319370767930962,0.12192944902176545,0.014608819925018387,7.168660045570455e-4,Hub
CULLENGR2011,3,665.1182379345111,0.06250420984929321,0.22642233260694258,0.22530691832233934,0.014224879700320266,0.14065771610081507,Hub
NIESS2005,3,785.3061013458747,0.07199179933636687,0.166102897317515,0.16490050901259423,0.011991398338686303,0.07413079468853645,Hub
KOEHLER2009,3,608.0728811745881,0.05800106858594133,0.19336590898857925,0.19220283096101135,0.011260575334324957,0.11054758215271829,Hub
SHULMAN1987,3,444.0088854431634,0.04504991198054326,0.2399463005528572,0.23885038634906966,0.010868877658125596,0.16560158284736723,Hub
CHEN2010,3,972.6356806940336,0.08677953328216793,0.1159414768534063,0.11466676127317754,0.010051240430569814,0.014294139710746591,Hub
HAIRBLAC2010,3,383.31631282418545,0.040258860724790374,0.18193037999768832,0.18075081318958025,0.007350325064739308,0.1107203240758341,Hub
PAJARES1992,3,627.7628157531562,0.05955538539469765,0.1167674132825453,0.11549388861220194,0.006947760653567646,0.03293213687967213,Hub
NIESS2011,3,455.5351738278443,0.04595979330632393,0.1373777742386796,0.13613396745186665,0.006319887884906688,0.06243774455105549,Hub
TONDEUR2012,3,347.5871883097093,0.037438415660668876,0.1531112998325947,0.15189017906676494,0.005743967331994922,0.08374658867609436,Hub
AJZEN1991,3,430.34204357304156,0.04397105608304999,0.1286727222146808,0.12741636369610895,0.005659224317151416,0.05503387221366619,Hub
NIESS2012,3,272.2333804005264,0.03149001142551599,0.1722992701175056,0.17110581630361935,0.005442549606437589,0.10682644707369476,Hub
GRONSETH2010,3,546.5524233452668,0.05314466435031831,0.08309857125799451,0.08177649980440857,0.00438988346853451,0.0034576649819772587,Hub
HAMMONDM2009,3,310.9354022096345,0.03454513600151267,0.12177557438155329,0.12050927093108854,0.004205059751270294,0.05430386179525972,Hub
CHAIKOHT2010,3,310.82171319766496,0.03453616142917115,0.11662748461305703,0.11535375818089537,0.00402411718585553,0.04916164385894427,Hub
COHEN1988,3,576.7249695126591,0.0555264749898519,0.07154425439027778,0.07020552287704132,0.00393764162644597,-0.009655009412939354,Hub
CCSSI2010,3,287.886658327376,0.03272567591676926,0.10445762627608826,0.1031663522408832,0.003410291524192329,0.038176339692365106,Hub
ERTMER1999,3,207.08667455819216,0.026347352392201553,0.12916300489130264,0.12790735330666134,0.003404060718307508,0.06705489156931814,Hub
KOHDIVAH2011,3,244.25595618295853,0.029281482973907785,0.11495251263143534,0.1136763710730965,0.00336223507486111,0.05092467302983161,Hub
KAGAN1992,3,249.77965269571106,0.029717521717560348,0.10367771210591648,0.1023853135198837,0.003073371493016534,0.03936458355352746,Hub
BAIERTME2008,3,210.95875124535408,0.0266530128226938,0.11109041456410262,0.1098087042832755,0.00295629576091468,0.04878231547300675,Hub
GREEN1991,3,152.81894388617235,0.02206347599738647,0.1290762235865189,0.12782044687273925,0.0028486498601534294,0.06977094056289986,Hub
BANDURA1997,3,123.42276950252673,0.019742951885164915,0.13891650017576745,0.1376749120632553,0.0027455648127870306,0.08112947647860663,Hub
HOFER2012,3,177.24066538413072,0.02399131847302169,0.11202140852009157,0.1107410406305991,0.002683660175558119,0.051454787679226864,Hub
KLEINER2007,3,353.5513382212625,0.037909223647383056,0.06643174013787125,0.06508563693893632,0.0024922686534853667,-0.0032410085921389443,Hub
WANG2004,3,402.1066244438545,0.04174216159994975,0.058837802842050535,0.05748075001712049,0.002423606824344402,-0.013342738745431343,Hub
BANDURA1986,3,344.21985014136254,0.037172599118976295,0.062214564747112684,0.06086238084307238,0.0022852655399050424,-0.006976229473370447,Hub
CHAI2013,3,173.30711944344958,0.02368080568034483,0.09483679231378563,0.09353164608955072,0.0022372775111206412,0.03447333201798196,Hub
